ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20805,HW161400,02/18/2013 05:15:00 PM,091XX S ADA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2222,022,21,73,01A,1168888,1844342,2013,02/27/2013 07:35:11 AM,41.72838986400553,-87.65692015883982,"(41.72838986400553, -87.65692015883982)"
20804,HW159263,02/16/2013 06:29:00 PM,024XX W CERMAK RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1034,010,25,31,01A,1160629,1889295,2013,04/05/2013 08:36:55 AM,41.851921021530245,-87.68593471924375,"(41.851921021530245, -87.68593471924375)"
20803,HW158173,02/15/2013 08:16:00 PM,011XX N PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1111,011,27,23,01A,1149472,1907286,2013,03/11/2013 10:40:20 AM,41.901513885500876,-87.72641723706671,"(41.901513885500876, -87.72641723706671)"
20802,HV612588,02/12/2013 10:30:00 PM,072XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1190003,1857227,2013,02/15/2013 06:16:17 AM,41.7632661374152,-87.57915872008829,"(41.7632661374152, -87.57915872008829)"
20801,HW153267,02/12/2013 02:40:00 AM,050XX W OHIO ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,1532,015,28,25,01A,1142394,1903561,2013,04/25/2013 07:05:18 AM,41.891426516675715,-87.75250842583557,"(41.891426516675715, -87.75250842583557)"
20800,HW148417,02/08/2013 05:35:00 AM,009XX W 958,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0723,007,17,68,01A,1170867,1859111,2013,02/08/2013 11:27:12 AM,41.76887506008251,-87.64924053366893,"(41.76887506008251, -87.64924053366893)"
20799,HW147939,02/07/2013 04:56:00 PM,023XX W 50TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0931,009,16,63,01A,1161634,1871167,2013,02/08/2013 06:32:54 AM,41.80215487414695,-87.68274994388779,"(41.80215487414695, -87.68274994388779)"
20798,HW142848,02/04/2013 01:45:00 PM,041XX W 30TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1031,010,22,30,01A,1149150,1884346,2013,02/05/2013 06:36:58 AM,41.83857008354242,-87.72819399837829,"(41.83857008354242, -87.72819399837829)"
20797,HW140811,02/01/2013 08:23:00 PM,039XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VESTIBULE,false,false,1633,016,38,15,01A,1138345,1925868,2013,03/11/2013 10:38:49 AM,41.95271365853819,-87.76683752216167,"(41.95271365853819, -87.76683752216167)"
20795,HW136256,01/29/2013 02:22:00 PM,044XX S OAKENWALD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0222,002,4,39,01A,1185371,1875713,2013,04/15/2013 11:26:54 AM,41.81410342236909,-87.59555423515161,"(41.81410342236909, -87.59555423515161)"
