Physician Types by Zip Code,,,,,,,2007 total Estimated Population,Primary Care physicians,Specialist physicians,OB-GYN physicians,"Primary Care physicans, federal","Specialist physicians, federal","OB-GYN physcians, federal","primary care physcians, non-federal","specialist physcians, non-federal","OH-GYN physicians, non-federal",Primary Care physicans; clinicall active; IMG,specials; clinicall active; IMG,OH-GYN; clinically acgive; IMG,primary care physicians; clinically active,specialist; clinically active; CMG,OB_GYN; clinicall active; CMG,Primary Care Physcians; Clinicall active; non-IMG,Specialis; clinicall acgtive; non-IMG,OB-GYN; clicincally active; non-IMG,Primary Care physcians <M age 50,specialist physicians < age 50,OB-GYN physicians < age 50,primary care physicians >= age 50,specialist physicians >= age 50,)B-GYN physicians >= age 50,female primare care physicians,females specialist physicians,female B_GYN physicians,Male primare care physicians,male specialist physicians,male OB-GYN physicians,Primary Care Residentsa and fellows,specialist residents and fellows,OB-GYN Residents and fellows,2007 Total estimated civilian population,"MRSA MUA/HPA prim FTEs, non-federal","HRSA MUA/HPSA PRIM + 0.5 semi-retired FTEs, non-federal"
ZCTA,ZCTA_L,ZFIPS_ST,ZCTA_ST,ZCTAXX,PCSA,PCSA_L,Z_POP07,ZG_DOC,ZS_DOC,ZO_DOC,ZG_FEDDOC,ZS_FEDDOC,ZO_FEDDOC,ZG_NFEDDOC,ZS_NFEDDOC,ZO_NFEDDOC,ZG_IMG,ZS_IMG,ZO_IMG,ZG_CMG,ZS_CMG,ZO_CMG,ZG_NIMG,ZS_NIMG,ZO_NIMG,ZG_LT50DOC,ZS_LT50DOC,ZO_LT50DOC,ZG_GT50DOC,ZS_GT50DOC,ZO_GT50DOC,ZG_F_DOC,ZS_F_DOC,ZO_F_DOC,ZG_M_DOC,ZS_M_DOC,ZO_M_DOC,ZG_RESDOC,ZS_RESDOC,ZO_RESDOC,ZCIVIL_07,Z_PRIM4,Z_PRIM4RET
60625,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,86938.0,78.0,100.0,8.0,0.0,1.0,0.0,78.0,99.0,8.0,57.0,38.0,4.0,1.0,1.0,0.0,21.0,62.0,4.0,44.0,41.0,4.0,34.0,59.0,4.0,31.0,20.0,4.0,47.0,80.0,4.0,11.0,23.0,2.0,84980.0,86.6,87.6
60626,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,56121.0,9.0,13.0,2.0,0.0,0.0,0.0,9.0,13.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,5.0,6.0,2.0,4.0,7.0,0.0,3.0,2.0,2.0,6.0,11.0,0.0,2.0,3.0,1.0,54296.0,11.3,11.3
60628,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,79591.0,29.0,13.0,3.0,2.0,0.0,0.0,27.0,13.0,3.0,18.0,7.0,1.0,0.0,0.0,0.0,11.0,6.0,2.0,9.0,4.0,1.0,20.0,9.0,2.0,13.0,4.0,1.0,16.0,9.0,2.0,1.0,0.0,0.0,79205.0,30.4,30.4
60629,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,111694.0,44.0,48.0,4.0,0.0,0.0,0.0,44.0,48.0,4.0,29.0,28.0,2.0,0.0,0.0,0.0,15.0,20.0,2.0,20.0,10.0,1.0,24.0,38.0,3.0,17.0,8.0,3.0,27.0,40.0,1.0,2.0,1.0,0.0,111576.0,48.0,48.0
60630,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,54089.0,37.0,14.0,3.0,0.0,1.0,0.0,37.0,13.0,3.0,24.0,10.0,1.0,0.0,0.0,0.0,13.0,4.0,2.0,13.0,6.0,1.0,24.0,8.0,2.0,16.0,8.0,2.0,21.0,6.0,1.0,2.0,2.0,0.0,54075.0,40.3,40.3
60631,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,27133.0,56.0,173.0,7.0,1.0,1.0,0.0,55.0,172.0,7.0,42.0,48.0,2.0,0.0,1.0,0.0,14.0,125.0,5.0,24.0,96.0,3.0,32.0,77.0,4.0,21.0,43.0,1.0,35.0,130.0,6.0,19.0,18.0,0.0,26519.0,64.3,64.6
60632,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,85764.0,25.0,10.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,16.0,7.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,11.0,3.0,0.0,14.0,7.0,0.0,9.0,2.0,0.0,16.0,8.0,0.0,2.0,1.0,0.0,85699.0,25.2,25.2
60633,CHICAGO,17,IL,0.0000,46321,IN00_MUNSTER,12216.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11881.0,2.0,2.0
60634,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,72144.0,52.0,76.0,4.0,0.0,2.0,0.0,52.0,74.0,4.0,43.0,41.0,3.0,0.0,0.0,0.0,9.0,35.0,1.0,18.0,23.0,1.0,34.0,53.0,3.0,24.0,21.0,1.0,28.0,55.0,3.0,1.0,4.0,0.0,71861.0,56.0,56.0
60636,CHICAGO,17,IL,0.0000,60621,IL06_CHICAGO,47605.0,8.0,6.0,1.0,0.0,0.0,0.0,8.0,6.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,0.0,5.0,4.0,1.0,2.0,1.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,47380.0,9.1,9.1
60637,CHICAGO,17,IL,0.0000,60637,IL11_CHICAGO,54973.0,118.0,496.0,41.0,2.0,3.0,0.0,116.0,493.0,41.0,16.0,122.0,5.0,3.0,12.0,0.0,102.0,374.0,36.0,85.0,335.0,31.0,33.0,161.0,10.0,56.0,163.0,28.0,62.0,333.0,13.0,53.0,232.0,11.0,52373.0,162.6,162.6
60638,CHICAGO,17,IL,0.0000,60402,IL00_BERWYN,53471.0,31.0,20.0,3.0,0.0,1.0,0.0,31.0,19.0,3.0,20.0,9.0,2.0,0.0,0.0,0.0,11.0,11.0,1.0,13.0,5.0,1.0,18.0,15.0,2.0,9.0,1.0,1.0,22.0,19.0,2.0,0.0,1.0,0.0,53444.0,34.3,34.3
60639,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,92058.0,28.0,7.0,0.0,0.0,0.0,0.0,28.0,7.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,18.0,2.0,0.0,10.0,5.0,0.0,13.0,2.0,0.0,15.0,5.0,0.0,1.0,1.0,0.0,91777.0,28.1,28.1
60640,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,72475.0,103.0,112.0,7.0,1.0,1.0,0.0,102.0,111.0,7.0,62.0,50.0,2.0,0.0,2.0,0.0,41.0,62.0,5.0,51.0,49.0,3.0,52.0,63.0,4.0,42.0,38.0,4.0,61.0,74.0,3.0,36.0,24.0,0.0,70875.0,112.4,113.4
60641,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,71593.0,24.0,17.0,2.0,0.0,0.0,0.0,24.0,17.0,2.0,21.0,5.0,0.0,0.0,0.0,0.0,3.0,12.0,2.0,11.0,6.0,1.0,13.0,11.0,1.0,9.0,5.0,2.0,15.0,12.0,0.0,2.0,2.0,0.0,71427.0,26.1,26.1
60643,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,48599.0,30.0,27.0,5.0,0.0,1.0,0.0,30.0,26.0,5.0,14.0,8.0,0.0,0.0,0.0,0.0,16.0,19.0,5.0,14.0,13.0,2.0,16.0,14.0,3.0,18.0,6.0,4.0,12.0,21.0,1.0,3.0,1.0,0.0,48192.0,35.2,35.2
60644,CHICAGO,17,IL,0.0000,60612,IL03_CHICAGO,58425.0,16.0,8.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,7.0,4.0,0.0,9.0,4.0,0.0,6.0,5.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,57452.0,16.1,16.1
60645,CHICAGO,17,IL,0.0000,60201,IL00_EVANSTON,42834.0,10.0,17.0,1.0,0.0,0.0,0.0,10.0,17.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,4.0,9.0,0.0,5.0,5.0,0.0,5.0,12.0,1.0,4.0,4.0,0.0,6.0,13.0,1.0,3.0,10.0,0.0,42098.0,11.1,11.1
60646,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,25572.0,31.0,17.0,4.0,1.0,0.0,0.0,30.0,17.0,4.0,16.0,6.0,2.0,0.0,0.0,0.0,15.0,11.0,2.0,12.0,6.0,1.0,19.0,11.0,3.0,14.0,4.0,2.0,17.0,13.0,2.0,0.0,3.0,1.0,25569.0,33.7,33.7
60647,CHICAGO,17,IL,0.0000,60622,IL07_CHICAGO,100825.0,54.0,26.0,7.0,0.0,0.0,0.0,54.0,26.0,7.0,27.0,12.0,2.0,0.0,0.0,0.0,27.0,14.0,5.0,32.0,12.0,4.0,22.0,14.0,3.0,28.0,10.0,5.0,26.0,16.0,2.0,10.0,37.0,0.0,100453.0,62.4,62.9
60649,CHICAGO,17,IL,0.0000,60637,IL11_CHICAGO,52786.0,43.0,50.0,4.0,0.0,1.0,0.0,43.0,49.0,4.0,27.0,28.0,1.0,0.0,0.0,0.0,16.0,22.0,3.0,18.0,18.0,2.0,25.0,32.0,2.0,14.0,14.0,1.0,29.0,36.0,3.0,12.0,1.0,0.0,52277.0,48.2,48.2
60651,CHICAGO,17,IL,0.0000,60622,IL07_CHICAGO,77245.0,20.0,1.0,0.0,2.0,0.0,0.0,18.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,1.0,0.0,15.0,0.0,0.0,6.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,77186.0,18.1,18.1
60652,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,37519.0,6.0,5.0,1.0,0.0,1.0,0.0,6.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,37519.0,6.9,6.9
60653,CHICAGO,17,IL,0.0000,60616,IL04_CHICAGO,33887.0,16.0,3.0,1.0,0.0,0.0,0.0,16.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,10.0,2.0,1.0,6.0,1.0,0.0,7.0,2.0,0.0,9.0,1.0,1.0,0.0,2.0,1.0,33198.0,17.1,17.1
60654,CHICAGO,17,IL,0.0000,60611,IL02_CHICAGO,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
60655,CHICAGO,17,IL,0.0000,60453,IL00_OAK LAWN,26877.0,5.0,6.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,4.0,4.0,0.0,3.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,26522.0,5.1,5.1
60656,CHICAGO,17,IL,0.0000,60631,IL10_CHICAGO,25628.0,5.0,6.0,1.0,0.0,0.0,0.0,5.0,6.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,2.0,5.0,0.0,2.0,1.0,0.0,25628.0,6.2,6.2
60657,CHICAGO,17,IL,0.0000,60657,IL12_CHICAGO,63693.0,181.0,302.0,35.0,0.0,2.0,0.0,181.0,300.0,35.0,91.0,94.0,11.0,0.0,0.0,0.0,90.0,208.0,24.0,119.0,154.0,19.0,62.0,148.0,16.0,83.0,114.0,21.0,98.0,188.0,14.0,166.0,150.0,20.0,63506.0,236.2,236.7
60659,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,37636.0,55.0,23.0,3.0,0.0,0.0,0.0,55.0,23.0,3.0,30.0,14.0,2.0,0.0,0.0,0.0,25.0,9.0,1.0,23.0,7.0,1.0,32.0,16.0,2.0,25.0,5.0,2.0,30.0,18.0,1.0,2.0,4.0,1.0,37312.0,58.1,58.1
60660,CHICAGO,17,IL,0.0000,60625,IL09_CHICAGO,45438.0,20.0,15.0,4.0,1.0,0.0,0.0,19.0,15.0,4.0,15.0,10.0,2.0,0.0,0.0,0.0,5.0,5.0,2.0,8.0,3.0,1.0,12.0,12.0,3.0,7.0,5.0,2.0,13.0,10.0,2.0,7.0,11.0,0.0,43278.0,23.4,23.4
60661,CHICAGO,17,IL,0.0000,60612,IL03_CHICAGO,5788.0,8.0,5.0,2.0,1.0,0.0,0.0,7.0,5.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,7.0,28.0,1.0,5788.0,10.1,10.1
